symbol	date	error_type	error_code
@BIO#	2020-01-31	no data	
@EMF#	2020-01-31	response error	503
@ENY#	2020-01-31	no data	
@MNF#	2020-01-31	response error	503
@XAB#	2020-01-31	no data	
@XAE#	2020-01-31	no data	
@XAF#	2020-01-31	no data	
@XAI#	2020-01-31	no data	
@XAK#	2020-01-31	no data	
@XAP#	2020-01-31	no data	
@XAU#	2020-01-31	no data	
@XAV#	2020-01-31	no data	
@XAY#	2020-01-31	no data	
@A2#	2020-01-31	response error	503
@A3#	2020-01-31	response error	503
@A4#	2020-01-31	response error	503
@A5#	2020-01-31	response error	503
@A9#	2020-01-31	response error	503
@AF#	2020-01-31	response error	503
@AH#	2020-01-31	response error	503
@AJ#	2020-01-31	response error	503
@AK#	2020-01-31	response error	503
@AW#	2020-01-31	response error	503
@BU2#	2020-01-31	response error	503
@BU3#	2020-01-31	response error	503
@BU5#	2020-01-31	response error	503
@CNH#	2020-01-31	no data	
@CNY#	2020-01-31	response error	503
@CPC#	2020-01-31	no data	
@CPO#	2020-01-31	no data	
@CSC#	2020-01-31	no data	
@CV1#	2020-01-31	response error	503
@CV2#	2020-01-31	response error	503
@CV4#	2020-01-31	response error	503
@CV5#	2020-01-31	response error	503
@CV8#	2020-01-31	response error	503
@CV9#	2020-01-31	response error	503
@D1#	2020-01-31	response error	503
@D2#	2020-01-31	response error	503
@D3#	2020-01-31	response error	503
@D4#	2020-01-31	response error	503
@D5#	2020-01-31	response error	503
@D6#	2020-01-31	response error	503
@D7#	2020-01-31	response error	503
@D8#	2020-01-31	response error	503
@D9#	2020-01-31	response error	503
@DQ#	2020-01-31	response error	503
@EB#	2020-01-31	response error	503
@EJ#	2020-01-31	response error	503
@FXD#	2020-01-31	response error	503
@G0#	2020-01-31	response error	503
@G1#	2020-01-31	response error	503
@G2#	2020-01-31	response error	503
@G3#	2020-01-31	response error	503
@G4#	2020-01-31	response error	503
@G5#	2020-01-31	response error	503
@G8#	2020-01-31	response error	503
@G9#	2020-01-31	response error	503
@GQ#	2020-01-31	response error	503
@H0#	2020-01-31	response error	503
@H1#	2020-01-31	response error	503
@H2#	2020-01-31	response error	503
@H3#	2020-01-31	response error	503
@H4#	2020-01-31	response error	503
@H5#	2020-01-31	response error	503
@H6#	2020-01-31	response error	503
@H7#	2020-01-31	response error	503
@H8#	2020-01-31	response error	503
@H9#	2020-01-31	response error	503
@HB#	2020-01-31	response error	503
@HD#	2020-01-31	response error	503
@HL#	2020-01-31	response error	503
@HM2#	2020-01-31	response error	503
@HNO#	2020-01-31	response error	503
@HR#	2020-01-31	response error	503
@HS#	2020-01-31	response error	503
@HW#	2020-01-31	response error	503
@HX#	2020-01-31	response error	503
@IBV#	2020-01-31	no data	
@K0#	2020-01-31	response error	503
@K1#	2020-01-31	response error	503
@K2#	2020-01-31	response error	503
@K3#	2020-01-31	response error	503
